dataset,strategy,requested_model_a,requested_model_b,n_overlap,acc_a,acc_b,n01_a0_b1,n10_a1_b0,mcnemar_stat,p_value
gsm8k,cot,phi_4_mini_reasoning,phi_4_reasoning,100,0.02,0.67,65,0,63.01538461538462,1.1633489310769463e-16
gsm8k,cot,phi_4_mini_reasoning,qwen3_30b_a3b,100,0.02,0.04,4,2,0.16666666666666666,0.6875
gsm8k,cot,phi_4_mini_reasoning,qwen3_8b,100,0.02,0.01,0,1,0.0,1.0
gsm8k,cot,phi_4_reasoning,qwen3_30b_a3b,100,0.67,0.04,0,63,61.01587301587302,4.373671563806525e-16
gsm8k,cot,phi_4_reasoning,qwen3_8b,100,0.67,0.01,0,66,64.01515151515152,1.3002836654618655e-15
gsm8k,cot,qwen3_30b_a3b,qwen3_8b,100,0.04,0.01,1,4,0.8,0.375
gsm8k,few_shot_cot,gemma_4_26b_a4b,gemma_4_e2b,100,0.68,0.46,3,25,15.75,2.744048833847046e-05
gsm8k,few_shot_cot,gemma_4_26b_a4b,gemma_4_e4b,100,0.68,0.67,7,8,0.0,1.0
gsm8k,few_shot_cot,gemma_4_26b_a4b,phi_4_mini_reasoning,100,0.68,0.08,0,60,58.016666666666666,1.0581813203458523e-16
gsm8k,few_shot_cot,gemma_4_26b_a4b,phi_4_reasoning,100,0.68,0.11,5,62,46.80597014925373,1.4195339782113736e-13
gsm8k,few_shot_cot,gemma_4_26b_a4b,qwen3_30b_a3b,100,0.68,0.07,0,61,59.01639344262295,1.6410484082740595e-15
gsm8k,few_shot_cot,gemma_4_26b_a4b,qwen3_8b,100,0.68,0.28,0,40,38.025,1.8189894035458565e-12
gsm8k,few_shot_cot,gemma_4_e2b,gemma_4_e4b,100,0.46,0.67,22,1,17.391304347826086,5.7220458984375e-06
gsm8k,few_shot_cot,gemma_4_e2b,phi_4_mini_reasoning,100,0.46,0.08,1,39,34.225,7.457856554538012e-11
